date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,c6h6,co,no,no2,nox,o3,so2,casos_total,poblacio_total,incidencia_1000
2011-09-17,310.571.428.571.429,230.428.571.428.571,748.857.142.857.143,NA,275.657.142.857.143,251.114.285.714.286,28.3,20.3,0,NA,0.32,1.29,2.79,NA,57.67,2.17,NA,NA,NA
2011-09-18,226.666.666.666.667,188.25,862.083.333.333.333,NA,801.041.666.666.667,201.583.333.333.333,24.2,16.2,11.6,NA,0.31,1.46,3.83,NA,41.83,2.62,NA,NA,NA
2011-09-19,3.3,236.041.666.666.667,570.208.333.333.333,NA,240.354.166.666.667,190.145.833.333.333,25.2,14.8,0,NA,0.25,2.12,8,NA,61.79,02.08,NA,NA,NA
2011-09-20,278.125,270.416.666.666.667,682.083.333.333.333,NA,225.645.833.333.333,1.994.375,24.6,16,0,NA,0.31,3.21,8.58,NA,63.38,1.58,NA,NA,NA
2011-09-21,3.2125,264.479.166.666.667,772.083.333.333.333,NA,232.708.333.333.333,207.375,26.2,15.2,0,NA,0.3,17.71,22.04,NA,54.09,2.82,NA,NA,NA
2011-09-22,262.083.333.333.333,261.708.333.333.333,80.375,NA,222.208.333.333.333,2.171.875,26.7,17.6,0,NA,0.31,4.79,10.17,NA,47.79,3.17,NA,NA,NA
2011-09-23,2.8375,263.875,807.083.333.333.333,NA,214.625,216.833.333.333.333,26.7,17.2,0,NA,0.31,6.71,8.54,NA,51.17,3.33,NA,NA,NA
2011-09-24,164.583.333.333.333,221.979.166.666.667,842.291.666.666.667,NA,550.625,203.083.333.333.333,23,17.8,7.1,NA,0.27,1.54,6.54,NA,42.92,4.27,NA,NA,NA
2011-09-25,2.2,237.5,77.625,NA,221.854.166.666.667,202.541.666.666.667,25.2,16.2,0,NA,0.25,1.21,3.83,NA,67.5,4.67,NA,NA,NA
2011-09-26,213.333.333.333.333,237.604.166.666.667,757.916.666.666.667,NA,212.208.333.333.333,210.083.333.333.333,26.7,16.6,0,NA,0.3,5.92,14.5,NA,40.96,4.38,NA,NA,NA
2011-09-27,236.041.666.666.667,243.916.666.666.667,693.958.333.333.333,NA,2.150.625,220.145.833.333.333,28.6,17,0,NA,0.36,8.45,15,NA,60.17,4.58,NA,NA,NA
2011-09-28,247.291.666.666.667,234.833.333.333.333,66,NA,210.875,214.520.833.333.333,27.3,17,0,NA,0.34,2.71,16.46,NA,82.67,3.79,NA,NA,NA
2011-09-29,336.041.666.666.667,200.395.833.333.333,695.416.666.666.667,NA,205.375,212.708.333.333.333,27.1,16,0,NA,0.39,3.38,16.88,NA,94.88,4.21,NA,NA,NA
2011-09-30,293.333.333.333.333,200.645.833.333.333,743.125,NA,191.5,207.666.666.666.667,25.4,15.6,0,NA,0.3,03.04,16.21,NA,88.67,3.11,NA,NA,NA
2011-10-01,278.958.333.333.333,218.875,766.666.666.666.667,NA,186.770.833.333.333,2.053.125,25.4,16.3,0,NA,0.4,2.29,8.75,NA,91.08,03.04,NA,NA,NA
2011-10-02,3.3,274.604.166.666.667,739.166.666.666.667,NA,210.770.833.333.333,202.229.166.666.667,26.3,15.6,0,NA,0.4,1.17,5.38,NA,81.71,3.21,NA,NA,NA
2011-10-03,266.458.333.333.333,256.041.666.666.667,598.125,NA,203.666.666.666.667,215.270.833.333.333,29.6,16.3,0,NA,0.37,6.91,20.52,NA,62.09,4.22,42,15210,276.134.122.287.968
2011-10-04,2.9125,268.229.166.666.667,618.333.333.333.333,NA,200.770.833.333.333,210.354.166.666.667,28.9,15.8,0,NA,0.37,7.54,21.33,NA,84.04,4.42,24,10213,234.994.614.706.746
2011-10-05,319.166.666.666.667,241.145.833.333.333,61.625,NA,2.015.625,215.791.666.666.667,28.7,15.8,0,NA,0.36,17.39,29.09,NA,69,5.43,46,17055,269.715.625.916.154
2011-10-06,231.875,262.375,781.875,NA,185.479.166.666.667,210.979.166.666.667,27,17,0,NA,0.33,6.12,13.25,NA,68.77,4.33,38,16845,225.586.227.367.171
2011-10-07,312.916.666.666.667,226.770.833.333.333,718.541.666.666.667,NA,118.5,200.479.166.666.667,23.9,16.9,0,NA,0.36,4.29,9.58,NA,55.25,4,23,7753,296.659.357.667.999
2011-10-08,291.041.666.666.667,231.25,562.916.666.666.667,NA,185.958.333.333.333,183.708.333.333.333,23.6,12.8,0,NA,0.35,2.58,7.67,NA,54.33,3.88,12,7656,156.739.811.912.226
2011-10-09,267.916.666.666.667,282.979.166.666.667,597.291.666.666.667,NA,195.791.666.666.667,1.836.875,24.8,14.4,0,NA,0.34,1.54,04.08,NA,52.75,3.33,NA,NA,NA
2011-10-10,363.125,270.395.833.333.333,582.083.333.333.333,NA,193.229.166.666.667,213.229.166.666.667,28.3,15.7,0,NA,0.35,9.5,15.46,NA,40.83,4.88,37,13631,271.440.099.772.577
2011-10-11,299.166.666.666.667,2.746.875,556.041.666.666.667,NA,190.625,216.270.833.333.333,28.5,17,0,NA,0.45,12.33,21.46,NA,42.33,3.77,22,9789,22.474.205.741.138
2011-10-12,308.333.333.333.333,273.375,572.291.666.666.667,NA,189.916.666.666.667,216.020.833.333.333,29.6,16.5,0,NA,0.72,2.54,14.33,NA,57.46,2.46,15,10485,143.061.516.452.074
