date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,co,hcnm,hct,no,no2,nox,o3,pm10,pm2.5,so2
2011-09-17,310.571.428.571.429,230.428.571.428.571,748.857.142.857.143,NA,275.657.142.857.143,251.114.285.714.286,28.3,20.3,0,NA,NA,NA,NA,NA,NA,2.12,18.75,21.17,NA,18.5,NA,NA
2011-09-18,226.666.666.666.667,188.25,862.083.333.333.333,NA,801.041.666.666.667,201.583.333.333.333,24.2,16.2,11.6,NA,NA,NA,NA,NA,NA,4.33,19.67,25.83,NA,19.42,NA,NA
2011-09-19,3.3,236.041.666.666.667,570.208.333.333.333,NA,240.354.166.666.667,190.145.833.333.333,25.2,14.8,0,NA,NA,NA,NA,NA,NA,2.92,24.67,28.88,NA,24.46,NA,NA
2011-09-20,278.125,270.416.666.666.667,682.083.333.333.333,NA,225.645.833.333.333,1.994.375,24.6,16,0,NA,NA,NA,NA,NA,NA,09.04,33.75,47,NA,30.17,NA,NA
2011-09-21,3.2125,264.479.166.666.667,772.083.333.333.333,NA,232.708.333.333.333,207.375,26.2,15.2,0,NA,NA,NA,NA,NA,NA,9.58,35.67,49.67,NA,29.29,NA,NA
2011-09-22,262.083.333.333.333,261.708.333.333.333,80.375,NA,222.208.333.333.333,2.171.875,26.7,17.6,0,NA,NA,NA,NA,NA,NA,9.88,38,52.88,NA,29.38,NA,NA
2011-09-23,2.8375,263.875,807.083.333.333.333,NA,214.625,216.833.333.333.333,26.7,17.2,0,NA,NA,NA,NA,NA,NA,2.79,25.21,28.62,NA,16.12,NA,NA
2011-09-24,164.583.333.333.333,221.979.166.666.667,842.291.666.666.667,NA,550.625,203.083.333.333.333,23,17.8,7.1,NA,NA,NA,NA,NA,NA,7.92,37.88,48.88,NA,17.25,NA,NA
2011-09-25,2.2,237.5,77.625,NA,221.854.166.666.667,202.541.666.666.667,25.2,16.2,0,NA,NA,NA,NA,NA,NA,22.5,56.58,90.5,NA,26.5,NA,NA
2011-09-26,213.333.333.333.333,237.604.166.666.667,757.916.666.666.667,NA,212.208.333.333.333,210.083.333.333.333,26.7,16.6,0,NA,NA,NA,NA,NA,NA,24,69.04,105.17,NA,34.71,NA,NA
2011-09-27,236.041.666.666.667,243.916.666.666.667,693.958.333.333.333,NA,2.150.625,220.145.833.333.333,28.6,17,0,NA,NA,NA,NA,NA,NA,19.38,61.79,91.17,NA,35.21,NA,NA
2011-09-28,247.291.666.666.667,234.833.333.333.333,66,NA,210.875,214.520.833.333.333,27.3,17,0,NA,NA,NA,NA,NA,NA,11.5,44.33,61.21,NA,45.46,NA,NA
2011-09-29,336.041.666.666.667,200.395.833.333.333,695.416.666.666.667,NA,205.375,212.708.333.333.333,27.1,16,0,NA,NA,NA,NA,NA,NA,14.12,37.79,59.08,NA,46.29,NA,NA
2011-09-30,293.333.333.333.333,200.645.833.333.333,743.125,NA,191.5,207.666.666.666.667,25.4,15.6,0,NA,NA,NA,NA,NA,NA,3.25,29,33.38,NA,37.71,NA,NA
2011-10-01,278.958.333.333.333,218.875,766.666.666.666.667,NA,186.770.833.333.333,2.053.125,25.4,16.3,0,NA,NA,NA,NA,NA,NA,02.04,31.08,33.83,NA,34.71,NA,NA
2011-10-02,3.3,274.604.166.666.667,739.166.666.666.667,NA,210.770.833.333.333,202.229.166.666.667,26.3,15.6,0,258,95693,269.612.197.339.408,NA,NA,NA,36.38,75.21,130.17,NA,48.25,NA,NA
2011-10-03,266.458.333.333.333,256.041.666.666.667,598.125,NA,203.666.666.666.667,215.270.833.333.333,29.6,16.3,0,281,116841,240.497.770.474.405,NA,NA,NA,39.25,83.15,142.6,NA,49.54,NA,NA
2011-10-04,2.9125,268.229.166.666.667,618.333.333.333.333,NA,200.770.833.333.333,210.354.166.666.667,28.9,15.8,0,220,95897,229.412.807.491.371,NA,NA,NA,9.53,54.47,68.47,NA,49.2,NA,NA
2011-10-05,319.166.666.666.667,241.145.833.333.333,61.625,NA,2.015.625,215.791.666.666.667,28.7,15.8,0,203,90966,223.160.301.651.166,NA,NA,NA,7.79,42.92,54.25,NA,42.04,NA,NA
2011-10-06,231.875,262.375,781.875,NA,185.479.166.666.667,210.979.166.666.667,27,17,0,190,82546,230.174.690.475.614,NA,NA,NA,2.71,30.08,33.88,NA,39.08,NA,NA
2011-10-07,312.916.666.666.667,226.770.833.333.333,718.541.666.666.667,NA,118.5,200.479.166.666.667,23.9,16.9,0,104,53192,195.518.123.026.019,NA,NA,NA,1.71,21.21,23.62,NA,25.67,NA,NA
2011-10-08,291.041.666.666.667,231.25,562.916.666.666.667,NA,185.958.333.333.333,183.708.333.333.333,23.6,12.8,0,57,30377,187.641.965.961.089,NA,NA,NA,2.38,22.17,25.33,NA,27.21,NA,NA
2011-10-09,267.916.666.666.667,282.979.166.666.667,597.291.666.666.667,NA,195.791.666.666.667,1.836.875,24.8,14.4,0,331,137797,240.208.422.534.598,NA,NA,NA,14.88,42.33,64.5,NA,40.62,NA,NA
2011-10-10,363.125,270.395.833.333.333,582.083.333.333.333,NA,193.229.166.666.667,213.229.166.666.667,28.3,15.7,0,181,68310,264.968.525.838.091,NA,NA,NA,55.62,63.54,148.33,NA,53.12,NA,NA
2011-10-11,299.166.666.666.667,2.746.875,556.041.666.666.667,NA,190.625,216.270.833.333.333,28.5,17,0,54,36455,148.127.828.830.064,NA,NA,NA,36.12,59.46,114.21,NA,47.17,NA,NA
2011-10-12,308.333.333.333.333,273.375,572.291.666.666.667,NA,189.916.666.666.667,216.020.833.333.333,29.6,16.5,0,207,88436,234.067.574.291.013,NA,NA,NA,22.17,47.75,81.08,NA,34.12,NA,NA
2011-10-13,248.125,209.979.166.666.667,697.916.666.666.667,NA,1.603.125,208.833.333.333.333,26.5,16.2,0,188,79739,23.576.919.700.523,NA,NA,NA,10.17,33.08,48.17,NA,24.83,NA,NA
2011-10-14,236.458.333.333.333,2.083.125,667.291.666.666.667,NA,164.270.833.333.333,200.020.833.333.333,24.9,16,0,71,44505,159.532.636.782.384,NA,NA,NA,1.38,17.96,19.62,NA,26.46,NA,NA
2011-10-15,259.791.666.666.667,197.354.166.666.667,656.666.666.666.667,NA,143.75,1.838.125,22.5,13.2,0,51,25756,198.012.113.682.249,NA,NA,NA,3.62,29.83,34.92,NA,32.58,NA,NA
2011-10-16,223.125,267.729.166.666.667,69.125,NA,1.564.375,1.845.625,23.5,13.8,0,288,122869,234.395.982.713.296,NA,NA,NA,3.46,37.25,41.96,NA,33.38,NA,NA
2011-10-17,2.2875,263.666.666.666.667,787.083.333.333.333,NA,972.916.666.666.667,1.773.125,23.5,14.2,0.3,192,88265,217.526.765.988.784,NA,NA,NA,3.29,30.67,35.08,NA,28.04,NA,NA
2011-10-18,332.083.333.333.333,277.125,752.083.333.333.333,NA,172.458.333.333.333,1.784.375,24.3,13.5,0,188,87797,214.130.323.359.568,NA,NA,NA,06.08,27.83,36.46,NA,27.92,NA,NA
2011-10-19,378.958.333.333.333,243.729.166.666.667,745.416.666.666.667,NA,1.560.625,183.604.166.666.667,23.4,13.4,0.1,175,78766,222.177.081.481.858,NA,NA,NA,12.17,36.21,54.58,NA,24.38,NA,NA
2011-10-20,255.416.666.666.667,252.583.333.333.333,652.083.333.333.333,NA,103.208.333.333.333,153.666.666.666.667,20.3,10.8,0,211,102133,206.593.363.555.364,NA,NA,NA,7.54,37.58,48.75,NA,27.29,NA,NA
2011-10-21,273.958.333.333.333,213.416.666.666.667,631.875,NA,667.291.666.666.667,144.229.166.666.667,17.8,9.7,0,54,38236,141.228.161.941.626,NA,NA,NA,7.17,26.5,36.79,NA,18.54,NA,NA
2011-10-22,222.708.333.333.333,192.270.833.333.333,758.333.333.333.333,NA,101.375,165.875,20.8,12.8,0,70,35240,198.637.911.464.245,NA,NA,NA,15.12,44.96,67.83,NA,19.08,NA,NA
