date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,no,no2,nox,so2,casos_total,poblacio_total,incidencia_1000
2011-09-16,2.24,183.257142857143,75.2571428571429,984.922857142857,204.057142857143,24,27.1,19.9,0,54,71.71,82.29,20.88,0,0,NA
2011-09-17,1.82916666666667,236.708333333333,67.2708333333333,981.864583333334,106.4375,20.0895833333333,25.1,13.9,0.3,5.17,24.75,32.17,1.33,0,0,NA
2011-09-18,2.85,254.541666666667,55.4166666666667,987.552083333334,249.916666666667,17.66875,25.5,13.2,0,16.42,38.5,62.92,2.71,0,0,NA
2011-09-19,2.0875,216.645833333333,67.4166666666667,990.795833333333,169.104166666667,18.8,24,14.5,0,28.04,54.96,97.42,2.92,0,0,NA
2011-09-20,1.65208333333333,219.270833333333,72.3333333333333,989.7875,235.458333333333,20.9979166666667,27.8,15.1,0,30.71,52.17,99,2.62,0,0,NA
2011-09-21,1.7625,222.708333333333,73.4166666666667,988.608333333333,232.395833333333,22.1833333333333,28.4,17.3,0,36.62,60.42,116.17,3.79,0,0,NA
2011-09-22,1.76041666666667,206.9375,76.9375,986.2,176.5625,21.46875,27.3,18,0,36.04,44.33,99.21,3.04,0,0,NA
2011-09-23,1.18541666666667,193.791666666667,85.8125,985.475,90.5833333333333,19.0979166666667,21.6,15.7,10.3,10.29,38.79,54.12,2.29,0,0,NA
2011-09-24,1.62083333333333,198.229166666667,74.5208333333333,989.55,231.0625,19.3520833333333,26,15,0,6,29.71,38.67,2.12,0,0,NA
2011-09-25,1.48958333333333,195.666666666667,66.3958333333333,993.297916666667,225.3125,20.5041666666667,27.3,15.8,0,39.83,58,118.5,1.54,0,0,NA
2011-09-26,1.44583333333333,201,61.25,994.84375,225.9375,21.91875,28.6,17,0,42.88,71.92,137.5,2.29,0,0,NA
2011-09-27,1.51875,197.416666666667,60.5625,994.2125,222.166666666667,20.9458333333333,27.4,16.1,0,38.12,71.04,128.79,2.88,0,0,NA
2011-09-28,1.85625,165.125,66.2708333333333,994.00625,214.5625,20.5958333333333,28.2,15.4,0,38.09,74.91,132.57,2.58,0,0,NA
2011-09-29,1.41621621621622,222.27027027027,71.4791666666667,993.941666666667,82.6388888888889,19.7458333333333,25.7,14.1,0,34.08,68.42,120.29,3,0,0,NA
2011-09-30,1.56666666666667,208.895833333333,77.5833333333333,994.108333333333,203,19.575,24.8,15.1,0,12.58,46.5,65,2.67,0,0,NA
2011-10-01,1.42708333333333,244.895833333333,69.7708333333333,994.052083333333,227,20.5666666666667,28,14.3,0,7.04,42.54,53.17,2.21,0,0,NA
2011-10-02,1.61458333333333,215.833333333333,45.9583333333333,993.375,217.166666666667,22.6041666666667,30.6,17.9,0,21.38,77.33,109.62,4.21,0,0,NA
2011-10-03,1.74583333333333,237.604166666667,42.75,993.541666666666,214.208333333333,23.0354166666667,29.7,17.1,0,27.58,92.71,134.46,5.38,19,7549,4.51688965425884
2011-10-04,1.39166666666667,223.895833333333,54.1041666666667,992.10625,213.0625,22.53125,30.5,16.4,0,28.38,83.96,126.79,5.5,18,8529,2.11044671122054
2011-10-05,1.60208333333333,219.458333333333,78.8125,990.116666666667,198.75,20.43125,27.4,15.1,0,30.62,68.21,114.58,2.92,9,6104,1.47444298820446
2011-10-06,2.37872340425532,223.574468085106,69.4583333333333,987.747916666667,102.25,18.5041666666667,22.8,15.1,0,19.92,48.04,77.96,1.29,17,7791,2.18200487742267
2011-10-07,1.675,285.041666666667,50.1458333333333,990.154166666667,203.583333333333,17.0895833333333,23.6,12.4,0,8.62,39.12,51.75,1.79,7,5167,1.35475130636733
2011-10-08,1.76458333333333,251.979166666667,55.3958333333333,992.364583333334,210.729166666667,18.00625,25.1,12.8,0,7.04,33.04,43.12,2.58,3,2164,1.38632162661738
2011-10-09,2.01875,259.479166666667,45.3333333333333,994.114583333333,207,22.7333333333333,30.6,17.5,0,26.58,52.46,92.71,4,1,1081,0.925069380203515
2011-10-10,1.53541666666667,230.729166666667,42.2083333333333,992.522916666666,202.5,23.7583333333333,32.1,16.9,0,56.08,77,162.33,5.54,27,10829,2.49330501431342
2011-10-11,1.45416666666667,244.9375,40.3541666666667,990.502083333333,201.541666666667,24.2916666666667,33.2,16.9,0,26.75,66.46,107.08,4.29,8,4673,1.71196233682859
2011-10-12,1.8,191.645833333333,64.3541666666667,989.51875,191.0625,21.4375,28.5,17,0,40.71,69,131.12,3.92,5,4991,1.00180324584252
2011-10-13,1.51875,207.6875,70.9375,990.683333333333,163.833333333333,18.9229166666667,25.8,15,0,48.71,59.54,133.58,4.33,17,7083,2.4001129464916
2011-10-14,1.46041666666667,149.041666666667,66.0833333333333,993.633333333333,121.3125,17.51875,21,15.3,0,19.75,49.38,79.21,3,8,5278,1.51572565365669
2011-10-15,1.52291666666667,238.104166666667,68.7916666666667,993.79375,114.270833333333,17.75,22.6,14,0,6.62,38.25,47.92,2.38,6,3893,1.54122784484973
2011-10-16,1.45625,223.520833333333,76.9583333333333,992.972916666667,112.291666666667,17.725,23.9,13.6,0.1,34.17,56.96,108.79,3.08,0,0,NA
2011-10-17,2.15208333333333,240.1875,67,990.79375,168.604166666667,18.6104166666667,24.9,15,0,40.92,52.75,115.08,2.88,17,8731,1.94708509907227
2011-10-18,1.90208333333333,232.1875,73.6458333333333,988.641666666667,141.979166666667,18.4958333333333,23.8,14.1,0,28.68,47.32,91.05,2.43,18,9453,1.90415741034592
2011-10-19,1.61875,243.5625,60.3333333333333,991.414583333333,132.770833333333,14.8291666666667,20.8,11.4,0,30.04,53.83,99.17,2.29,10,6262,1.59693388693708
2011-10-20,1.26875,179.395833333333,63.4375,991.141666666667,70.3541666666667,12.8958333333333,17.7,8.6,0,42.62,61.42,126.33,3.08,6,2985,2.01005025125628
2011-10-21,1.18541666666667,176.708333333333,78.1875,988.69375,91.8125,14.9625,20.7,12.7,0,9.92,45.5,60.5,1.71,4,2907,1.37598899208806
2011-10-22,1.1375,248.6875,94.7916666666667,984.704166666666,60.0208333333333,14.1416666666667,18.2,12.3,7.4,11.33,40.58,57.67,1.75,12,5165,2.32333010648596
2011-10-23,1.27083333333333,206.833333333333,95,974.177083333333,70.625,15.1125,18.4,13.2,40.2,54.67,66.88,150.04,3.83,3,1674,1.7921146953405
2011-10-24,3.05625,316.875,60.2291666666667,975.783333333333,173.229166666667,15.1604166666667,18.2,12,0,20.75,34.04,65.08,2.46,18,10051,1.79086658043976
2011-10-25,1.70625,240.770833333333,54.75,983.7875,158.75,14.75,21,9.5,0,36,54.58,109.21,1.92,7,3979,1.75923598894195
2011-10-26,1.03333333333333,209.979166666667,90.6875,980.483333333333,19.0625,15.0354166666667,17.6,13.5,22.1,84.46,79.46,208.08,2.54,12,6973,1.72092356231177
2011-10-27,0.577083333333333,166.770833333333,97.8125,987.80625,31.0833333333333,14.98125,16.2,13.6,23.1,39.92,61.79,122.42,1.92,16,9650,1.6580310880829
2011-10-28,0.7875,114.645833333333,90.5,992.045833333333,34.7916666666667,16.44375,20.2,14,0,25.08,40.33,78.54,1.04,12,8975,1.33704735376045
2011-10-29,1.28333333333333,246.395833333333,84.7291666666667,991.483333333333,131.5625,16.3791666666667,21.2,13.4,0,13.67,28.33,48.96,1.67,6,3977,1.50867488056324
2011-10-30,0.877083333333333,232.666666666667,90,988.2875,74.2708333333333,15.6208333333333,19.7,12.1,0.1,48.71,41.5,115.25,3.33,17,9839,1.72781786766948
2011-10-31,1.25833333333333,209.083333333333,85.2083333333333,986.83125,103.145833333333,17.9645833333333,22,15.5,0,26.17,34.96,74.75,1.79,9,3115,2.8892455858748
2011-11-01,2.19166666666667,172.4375,87.8541666666667,983.629166666667,89.1875,17.8291666666667,20.4,16.2,16.6,32.75,36,85.83,1.67,2,1156,1.73010380622837
2011-11-02,2.41666666666667,202.291666666667,89.375,974.804166666667,35.0208333333333,17.33125,19.4,14.8,1.2,32.12,46.88,95.5,1.67,14,8426,1.66152385473534
2011-11-03,1.76875,191.708333333333,95.8958333333333,969.545833333333,29.5,14.4208333333333,16.8,13.6,42.7,38.04,64.67,122.67,2.42,17,7144,2.37961926091825
2011-11-04,1.325,260.625,87.3541666666667,969.616666666667,74.9791666666667,13.7104166666667,16.4,11.3,5.6,10.25,24.67,40.12,2.12,5,2626,1.9040365575019
2011-11-05,2.41875,284.229166666667,85.9583333333333,974.910416666667,25.0416666666667,12.5729166666667,15,10.4,19.9,3.83,21.92,27.29,1.29,1,1021,0.979431929480901
2011-11-06,2.05208333333333,320.416666666667,72.5416666666667,981.820833333333,108.479166666667,14.9145833333333,18.3,12,0,28.83,35.29,78.92,2.17,0,0,NA
2011-11-07,1.39375,253.3125,80.9791666666667,983.997916666667,135.0625,13.8729166666667,19.6,10.7,0,23.96,35.42,71.54,2.25,31,16177,1.91630092106077
2011-11-08,1.22708333333333,242.729166666667,80.1458333333333,987.864583333333,131.625,13.9541666666667,20.2,10.1,0,57.04,49.62,136.46,3.54,9,4752,1.89393939393939
2011-11-09,1.16875,265.333333333333,82.4791666666667,987.579166666667,121.270833333333,14.4645833333333,20.3,10.4,0,48.38,54.42,127.88,3.62,13,6684,1.94494314781568
2011-11-10,1.51041666666667,268.854166666667,82.8958333333333,988.1625,128.1875,16.425,22.8,13.6,0,51.08,59.67,137,2.42,10,7962,1.25596583772921
2011-11-11,1.06458333333333,185.895833333333,88.5416666666667,995.108333333334,109.541666666667,16.05,20.3,13.3,0,34.62,48.92,101.58,1.46,17,10682,1.59146227298259
2011-11-12,0.46875,121.333333333333,94.5208333333333,996.2125,32.2708333333333,14.5770833333333,16.9,12.9,10.9,12.83,47.29,66.46,1.92,5,3145,1.58982511923688
2011-11-13,0.766666666666667,158.875,95.8333333333333,990.452083333333,29.5625,12.9354166666667,15.1,11.4,6.1,27,64.46,105.25,3,1,677,1.47710487444609
2011-11-14,0.85,165.1875,99.0833333333333,983.033333333333,12.4375,12.7625,13.9,11.8,52.8,25.46,66.25,104.96,3.71,19,13317,1.42674776601337
2011-11-15,0.685416666666666,152.375,92.6875,987.2125,27.125,12.8583333333333,14.9,11.6,18.4,27.88,55.58,97.75,3.25,13,9263,1.40343301306272
2011-11-16,0.879166666666667,206.104166666667,85.3958333333333,993.197916666667,70.3125,13.2270833333333,16.9,11.4,0,30.86,48.64,95.41,3.71,16,9149,1.74882500819762
2011-11-17,0.964583333333333,233.645833333333,89.75,990.720833333333,83.5416666666667,11.7791666666667,16,9,0,49.25,44.12,119.17,1,15,7564,1.98307773664728
2011-11-18,0.714583333333333,192.104166666667,90.5625,985.39375,55.625,11.9625,14.9,7.9,0.5,33.46,44.42,95.12,1.5,15,10608,1.41402714932127
2011-11-19,1.01875,150.5625,90.75,985.65,37.0625,14.3166666666667,16.9,12.9,0,9.04,39.21,52.79,2.46,1,530,1.88679245283019
2011-11-20,0.80625,60.75,88.375,981.5625,39.4791666666667,13.7354166666667,16.9,12.4,5.3,63.54,58.96,155.67,4.71,9,8607,1.04566050888811
2011-11-21,1.2125,35.8958333333333,85.4583333333333,981.9,20.8541666666667,13.7895833333333,14.6,12.5,0.7,30,56.29,101.75,2.08,32,18199,1.75833837024012
2011-11-22,1.43191489361702,235.489361702128,69.9166666666667,990.610416666667,119.854166666667,14.2416666666667,20.2,10.3,0,52.58,45,125.25,1.58,22,11266,1.9527782709036
2011-11-23,1.09166666666667,241.25,83,996.658333333333,111.333333333333,11.975,18,8.5,0,54.75,44.38,127.62,1.96,14,7137,1.96160851898557
2011-11-24,1.06666666666667,228.729166666667,81.3125,998.358333333333,114.770833333333,11.8770833333333,18.2,7.7,0.2,72.08,50.75,160.79,2.08,34,13917,2.44305525616153
2011-11-25,1.70416666666667,287.083333333333,75.3958333333333,998.529166666667,119.770833333333,10.0729166666667,15.1,7.3,0,15.04,27.67,50.29,2.17,12,5958,2.01409869083585
2011-11-26,0.872916666666667,233.041666666667,85.9791666666667,996.760416666667,80.1666666666667,9.93541666666667,15.6,6.1,0,32.62,34.17,83.79,3.42,11,6229,1.76593353668326
