date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,no,no2,nox,o3,pm10,pm2.5,so2,casos_total,poblacio_total,incidencia_1000
2011-09-17,2.24,183.257.142.857.143,752.571.428.571.429,984.922.857.142.857,204.057.142.857.143,24,27.1,19.9,0,5.17,24.75,32.17,NA,NA,NA,1.33,0,0,NA
2011-09-18,182.916.666.666.667,236.708.333.333.333,672.708.333.333.333,981.864.583.333.334,1.064.375,200.895.833.333.333,25.1,13.9,0.3,16.42,38.5,62.92,NA,NA,NA,2.71,0,0,NA
2011-09-19,2.85,254.541.666.666.667,554.166.666.666.667,987.552.083.333.334,249.916.666.666.667,1.766.875,25.5,13.2,0,28.04,54.96,97.42,NA,NA,NA,2.92,0,0,NA
2011-09-20,2.0875,216.645.833.333.333,674.166.666.666.667,990.795.833.333.333,169.104.166.666.667,18.8,24,14.5,0,30.71,52.17,99,NA,NA,NA,2.62,0,0,NA
2011-09-21,165.208.333.333.333,219.270.833.333.333,723.333.333.333.333,9.897.875,235.458.333.333.333,209.979.166.666.667,27.8,15.1,0,36.62,60.42,116.17,NA,NA,NA,3.79,0,0,NA
2011-09-22,1.7625,222.708.333.333.333,734.166.666.666.667,988.608.333.333.333,232.395.833.333.333,221.833.333.333.333,28.4,17.3,0,36.04,44.33,99.21,NA,NA,NA,03.04,0,0,NA
2011-09-23,176.041.666.666.667,2.069.375,769.375,986.2,1.765.625,2.146.875,27.3,18,0,10.29,38.79,54.12,NA,NA,NA,2.29,0,0,NA
2011-09-24,118.541.666.666.667,193.791.666.666.667,858.125,985.475,905.833.333.333.333,190.979.166.666.667,21.6,15.7,10.3,6,29.71,38.67,NA,NA,NA,2.12,0,0,NA
2011-09-25,162.083.333.333.333,198.229.166.666.667,745.208.333.333.333,989.55,2.310.625,193.520.833.333.333,26,15,0,39.83,58,118.5,NA,NA,NA,1.54,0,0,NA
2011-09-26,148.958.333.333.333,195.666.666.666.667,663.958.333.333.333,993.297.916.666.667,2.253.125,205.041.666.666.667,27.3,15.8,0,42.88,71.92,137.5,NA,NA,NA,2.29,0,0,NA
2011-09-27,144.583.333.333.333,201,61.25,99.484.375,2.259.375,2.191.875,28.6,17,0,38.12,71.04,128.79,NA,NA,NA,2.88,0,0,NA
2011-09-28,151.875,197.416.666.666.667,605.625,9.942.125,222.166.666.666.667,209.458.333.333.333,27.4,16.1,0,38.09,74.91,132.57,NA,NA,NA,2.58,0,0,NA
2011-09-29,185.625,165.125,662.708.333.333.333,99.400.625,2.145.625,205.958.333.333.333,28.2,15.4,0,34.08,68.42,120.29,NA,NA,NA,3,0,0,NA
2011-09-30,141.621.621.621.622,22.227.027.027.027,714.791.666.666.667,993.941.666.666.667,826.388.888.888.889,197.458.333.333.333,25.7,14.1,0,12.58,46.5,65,NA,NA,NA,2.67,0,0,NA
2011-10-01,156.666.666.666.667,208.895.833.333.333,775.833.333.333.333,994.108.333.333.333,203,19.575,24.8,15.1,0,07.04,42.54,53.17,NA,NA,NA,2.21,0,0,NA
2011-10-02,142.708.333.333.333,244.895.833.333.333,697.708.333.333.333,994.052.083.333.333,227,205.666.666.666.667,28,14.3,0,21.38,77.33,109.62,NA,NA,NA,4.21,0,0,NA
2011-10-03,161.458.333.333.333,215.833.333.333.333,459.583.333.333.333,993.375,217.166.666.666.667,226.041.666.666.667,30.6,17.9,0,27.58,92.71,134.46,NA,NA,NA,5.38,19,7549,251.688.965.425.884
2011-10-04,174.583.333.333.333,237.604.166.666.667,42.75,993.541.666.666.666,214.208.333.333.333,230.354.166.666.667,29.7,17.1,0,28.38,83.96,126.79,NA,NA,NA,5.5,18,8529,211.044.671.122.054
2011-10-05,139.166.666.666.667,223.895.833.333.333,541.041.666.666.667,99.210.625,2.130.625,2.253.125,30.5,16.4,0,30.62,68.21,114.58,NA,NA,NA,2.92,9,6104,147.444.298.820.446
2011-10-06,160.208.333.333.333,219.458.333.333.333,788.125,990.116.666.666.667,198.75,2.043.125,27.4,15.1,0,19.92,48.04,77.96,NA,NA,NA,1.29,17,7791,218.200.487.742.267
2011-10-07,237.872.340.425.532,223.574.468.085.106,694.583.333.333.333,987.747.916.666.667,102.25,185.041.666.666.667,22.8,15.1,0,8.62,39.12,51.75,NA,NA,NA,1.79,7,5167,135.475.130.636.733
2011-10-08,1.675,285.041.666.666.667,501.458.333.333.333,990.154.166.666.667,203.583.333.333.333,170.895.833.333.333,23.6,12.4,0,07.04,33.04,43.12,NA,NA,NA,2.58,3,2164,138.632.162.661.738
