date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,pm10,so2
2011-09-17,2.24,183.257.142.857.143,752.571.428.571.429,984.922.857.142.857,204.057.142.857.143,24,27.1,19.9,0,NA,NA,NA,7.29,20.79,32.25,42.67,31.62,1.13
2011-09-18,182.916.666.666.667,236.708.333.333.333,672.708.333.333.333,981.864.583.333.334,1.064.375,200.895.833.333.333,25.1,13.9,0.3,NA,NA,NA,2.15,18.05,21.55,33.8,24.6,1
2011-09-19,2.85,254.541.666.666.667,554.166.666.666.667,987.552.083.333.334,249.916.666.666.667,1.766.875,25.5,13.2,0,NA,NA,NA,12.43,32.48,51.74,40.13,23.52,1
2011-09-20,2.0875,216.645.833.333.333,674.166.666.666.667,990.795.833.333.333,169.104.166.666.667,18.8,24,14.5,0,NA,NA,NA,11.46,33.92,51.58,45.21,32,1.22
2011-09-21,165.208.333.333.333,219.270.833.333.333,723.333.333.333.333,9.897.875,235.458.333.333.333,209.979.166.666.667,27.8,15.1,0,NA,NA,NA,19.58,35.83,65.79,43.25,41.92,1.65
2011-09-22,1.7625,222.708.333.333.333,734.166.666.666.667,988.608.333.333.333,232.395.833.333.333,221.833.333.333.333,28.4,17.3,0,NA,NA,NA,23.23,41.86,77.77,27.5,40.08,2.1
2011-09-23,176.041.666.666.667,2.069.375,769.375,986.2,1.765.625,2.146.875,27.3,18,0,NA,NA,NA,27.96,36.75,79.17,37.54,35.58,1
2011-09-24,118.541.666.666.667,193.791.666.666.667,858.125,985.475,905.833.333.333.333,190.979.166.666.667,21.6,15.7,10.3,NA,NA,NA,06.04,32.12,41.38,40.83,22.58,1
2011-09-25,162.083.333.333.333,198.229.166.666.667,745.208.333.333.333,989.55,2.310.625,193.520.833.333.333,26,15,0,NA,NA,NA,3.75,17.88,23.67,48.96,18.42,1
2011-09-26,148.958.333.333.333,195.666.666.666.667,663.958.333.333.333,993.297.916.666.667,2.253.125,205.041.666.666.667,27.3,15.8,0,NA,NA,NA,23.42,39.62,75.92,39.29,34.67,1
2011-09-27,144.583.333.333.333,201,61.25,99.484.375,2.259.375,2.191.875,28.6,17,0,NA,NA,NA,23.17,50.04,87.88,46.75,41.04,1.17
2011-09-28,151.875,197.416.666.666.667,605.625,9.942.125,222.166.666.666.667,209.458.333.333.333,27.4,16.1,0,NA,NA,NA,26.76,61.29,101.29,42.5,46.21,1.2
2011-09-29,185.625,165.125,662.708.333.333.333,99.400.625,2.145.625,205.958.333.333.333,28.2,15.4,0,NA,NA,NA,12.55,55.85,75.1,45,56.33,3.36
2011-09-30,141.621.621.621.622,22.227.027.027.027,714.791.666.666.667,993.941.666.666.667,826.388.888.888.889,197.458.333.333.333,25.7,14.1,0,NA,NA,NA,23.33,45.75,81.62,54.83,60.25,2.22
2011-10-01,156.666.666.666.667,208.895.833.333.333,775.833.333.333.333,994.108.333.333.333,203,19.575,24.8,15.1,0,NA,NA,NA,10.46,37.25,55.92,54.42,47.08,1.48
2011-10-02,142.708.333.333.333,244.895.833.333.333,697.708.333.333.333,994.052.083.333.333,227,205.666.666.666.667,28,14.3,0,NA,NA,NA,7.58,30.83,42.54,52.92,42.08,1.3
2011-10-03,161.458.333.333.333,215.833.333.333.333,459.583.333.333.333,993.375,217.166.666.666.667,226.041.666.666.667,30.6,17.9,0,41,14836,276.354.812.617.956,20.38,56.29,87.88,46.38,50.54,2.26
2011-10-04,174.583.333.333.333,237.604.166.666.667,42.75,993.541.666.666.666,214.208.333.333.333,230.354.166.666.667,29.7,17.1,0,37,16297,227.035.650.733.264,23.12,59.46,95.12,55,62.23,5.48
2011-10-05,139.166.666.666.667,223.895.833.333.333,541.041.666.666.667,99.210.625,2.130.625,2.253.125,30.5,16.4,0,28,11285,248.116.969.428.445,24.08,56.71,92.62,52.33,63.39,2.52
2011-10-06,160.208.333.333.333,219.458.333.333.333,788.125,990.116.666.666.667,198.75,2.043.125,27.4,15.1,0,26,10066,258.295.251.341.148,19.92,42.17,77.88,59.62,47.96,1.3
