,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,so2
1,2011-09-17,310.571.428.571.429,230.428.571.428.571,748.857.142.857.143,NA,275.657.142.857.143,251.114.285.714.286,28.3,20.3,0,NA,NA,NA,NA,NA,NA,NA,NA
2,2011-09-18,226.666.666.666.667,188.25,862.083.333.333.333,NA,801.041.666.666.667,201.583.333.333.333,24.2,16.2,11.6,NA,NA,NA,NA,NA,NA,NA,NA
3,2011-09-19,3.3,236.041.666.666.667,570.208.333.333.333,NA,240.354.166.666.667,190.145.833.333.333,25.2,14.8,0,NA,NA,NA,NA,NA,NA,NA,NA
4,2011-09-20,278.125,270.416.666.666.667,682.083.333.333.333,NA,225.645.833.333.333,1.994.375,24.6,16,0,NA,NA,NA,NA,NA,NA,NA,NA
5,2011-09-21,3.2125,264.479.166.666.667,772.083.333.333.333,NA,232.708.333.333.333,207.375,26.2,15.2,0,NA,NA,NA,NA,NA,NA,NA,NA
6,2011-09-22,262.083.333.333.333,261.708.333.333.333,80.375,NA,222.208.333.333.333,2.171.875,26.7,17.6,0,NA,NA,NA,NA,NA,NA,NA,NA
7,2011-09-23,2.8375,263.875,807.083.333.333.333,NA,214.625,216.833.333.333.333,26.7,17.2,0,NA,NA,NA,NA,NA,NA,NA,NA
8,2011-09-24,164.583.333.333.333,221.979.166.666.667,842.291.666.666.667,NA,550.625,203.083.333.333.333,23,17.8,7.1,NA,NA,NA,NA,NA,NA,NA,NA
9,2011-09-25,2.2,237.5,77.625,NA,221.854.166.666.667,202.541.666.666.667,25.2,16.2,0,NA,NA,NA,NA,NA,NA,NA,NA
10,2011-09-26,213.333.333.333.333,237.604.166.666.667,757.916.666.666.667,NA,212.208.333.333.333,210.083.333.333.333,26.7,16.6,0,NA,NA,NA,NA,NA,NA,NA,NA
11,2011-09-27,236.041.666.666.667,243.916.666.666.667,693.958.333.333.333,NA,2.150.625,220.145.833.333.333,28.6,17,0,NA,NA,NA,NA,NA,NA,NA,NA
12,2011-09-28,247.291.666.666.667,234.833.333.333.333,66,NA,210.875,214.520.833.333.333,27.3,17,0,NA,NA,NA,NA,NA,NA,NA,NA
