 , date , ws , wd , rh , pres , solar , temp_mean , temp_max , temp_min , precip_sum , casos_total , poblacio_total , incidencia_1000 , no , no2 , nox , o3 , so2 
 1 ,2011-09-17,3.10571428571429,230.428571428571,74.8857142857143,NA,275.657142857143,25.1114285714286,28.3,20.3,0,NA,NA,NA,3.17,22.04,26.58,NA,2.33
 2 ,2011-09-18,2.26666666666667,188.25,86.2083333333333,NA,80.1041666666667,20.1583333333333,24.2,16.2,11.6,NA,NA,NA,6.08,24.88,33.88,NA,3.33
 3 ,2011-09-19,3.3,236.041666666667,57.0208333333333,NA,240.354166666667,19.0145833333333,25.2,14.8,0,NA,NA,NA,6.54,40.5,50.21,NA,3.67
 4 ,2011-09-20,2.78125,270.416666666667,68.2083333333333,NA,225.645833333333,19.94375,24.6,16,0,NA,NA,NA,17.5,44.79,71.04,NA,4
 5 ,2011-09-21,3.2125,264.479166666667,77.2083333333333,NA,232.708333333333,20.7375,26.2,15.2,0,NA,NA,NA,18.46,43.88,71.67,NA,3.75
 6 ,2011-09-22,2.62083333333333,261.708333333333,80.375,NA,222.208333333333,21.71875,26.7,17.6,0,NA,NA,NA,21.21,41.21,73.17,NA,4.12
 7 ,2011-09-23,2.8375,263.875,80.7083333333333,NA,214.625,21.6833333333333,26.7,17.2,0,NA,NA,NA,7.88,38.71,50.46,NA,2.96
 8 ,2011-09-24,1.64583333333333,221.979166666667,84.2291666666667,NA,55.0625,20.3083333333333,23,17.8,7.1,NA,NA,NA,4.92,29.5,36.58,NA,3.62
 9 ,2011-09-25,2.2,237.5,77.625,NA,221.854166666667,20.2541666666667,25.2,16.2,0,NA,NA,NA,19.25,43.54,72.58,NA,4.79
 10 ,2011-09-26,2.13333333333333,237.604166666667,75.7916666666667,NA,212.208333333333,21.0083333333333,26.7,16.6,0,NA,NA,NA,15.58,53.96,77.21,NA,5.75
 11 ,2011-09-27,2.36041666666667,243.916666666667,69.3958333333333,NA,215.0625,22.0145833333333,28.6,17,0,NA,NA,NA,23.04,65.04,100,NA,7
 12 ,2011-09-28,2.47291666666667,234.833333333333,66,NA,210.875,21.4520833333333,27.3,17,0,NA,NA,NA,17.61,56.83,87.92,NA,4.96
 13 ,2011-09-29,3.36041666666667,200.395833333333,69.5416666666667,NA,205.375,21.2708333333333,27.1,16,0,NA,NA,NA,18.67,46.96,75.38,NA,3.29
 14 ,2011-09-30,2.93333333333333,200.645833333333,74.3125,NA,191.5,20.7666666666667,25.4,15.6,0,NA,NA,NA,5.96,38.08,47.12,NA,2.46
 15 ,2011-10-01,2.78958333333333,218.875,76.6666666666667,NA,186.770833333333,20.53125,25.4,16.3,0,NA,NA,NA,3.71,35.08,40.5,NA,2.67
 16 ,2011-10-02,3.3,274.604166666667,73.9166666666667,NA,210.770833333333,20.2229166666667,26.3,15.6,0,NA,NA,NA,11.71,61.58,79.29,NA,5
