date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,c6h6,co,no,no2,nox,o3,so2,casos_total,poblacio_total,incidencia_1000
2011-09-17,310.571.428.571.429,230.428.571.428.571,748.857.142.857.143,NA,275.657.142.857.143,251.114.285.714.286,28.3,20.3,0,NA,0.22,7.42,24.92,NA,42.54,1.62,NA,NA,NA
2011-09-18,226.666.666.666.667,188.25,862.083.333.333.333,NA,801.041.666.666.667,201.583.333.333.333,24.2,16.2,11.6,NA,0.2,2.96,22.38,NA,36.88,1.21,NA,NA,NA
2011-09-19,3.3,236.041.666.666.667,570.208.333.333.333,NA,240.354.166.666.667,190.145.833.333.333,25.2,14.8,0,NA,0.2,48.21,40,NA,32.25,2.29,NA,NA,NA
2011-09-20,278.125,270.416.666.666.667,682.083.333.333.333,NA,225.645.833.333.333,1.994.375,24.6,16,0,NA,0.23,6.54,37.96,NA,38.92,2,NA,NA,NA
2011-09-21,3.2125,264.479.166.666.667,772.083.333.333.333,NA,232.708.333.333.333,207.375,26.2,15.2,0,NA,0.3,17.25,47.12,NA,31.54,2.46,NA,NA,NA
2011-09-22,262.083.333.333.333,261.708.333.333.333,80.375,NA,222.208.333.333.333,2.171.875,26.7,17.6,0,NA,0.36,19.92,44.38,NA,29.46,3.71,NA,NA,NA
2011-09-23,2.8375,263.875,807.083.333.333.333,NA,214.625,216.833.333.333.333,26.7,17.2,0,NA,0.4,23.5,45.54,NA,27.46,3.67,NA,NA,NA
2011-09-24,164.583.333.333.333,221.979.166.666.667,842.291.666.666.667,NA,550.625,203.083.333.333.333,23,17.8,7.1,NA,0.38,13.58,43.62,NA,32.08,2.42,NA,NA,NA
2011-09-25,2.2,237.5,77.625,NA,221.854.166.666.667,202.541.666.666.667,25.2,16.2,0,NA,0.34,15.33,36.5,NA,37.5,2.71,NA,NA,NA
2011-09-26,213.333.333.333.333,237.604.166.666.667,757.916.666.666.667,NA,212.208.333.333.333,210.083.333.333.333,26.7,16.6,0,NA,0.4,26.54,46.96,NA,32.12,3.88,NA,NA,NA
2011-09-27,236.041.666.666.667,243.916.666.666.667,693.958.333.333.333,NA,2.150.625,220.145.833.333.333,28.6,17,0,NA,0.42,21.58,49.42,NA,44.5,3.5,NA,NA,NA
2011-09-28,247.291.666.666.667,234.833.333.333.333,66,NA,210.875,214.520.833.333.333,27.3,17,0,NA,0.45,19.27,53,NA,46.3,5.71,NA,NA,NA
2011-09-29,336.041.666.666.667,200.395.833.333.333,695.416.666.666.667,NA,205.375,212.708.333.333.333,27.1,16,0,NA,0.45,20.57,49.96,NA,58,5.87,NA,NA,NA
2011-09-30,293.333.333.333.333,200.645.833.333.333,743.125,NA,191.5,207.666.666.666.667,25.4,15.6,0,NA,0.47,13.04,42.04,NA,59.88,3.38,NA,NA,NA
2011-10-01,278.958.333.333.333,218.875,766.666.666.666.667,NA,186.770.833.333.333,2.053.125,25.4,16.3,0,NA,0.46,4.83,34.25,NA,57.75,03.04,NA,NA,NA
2011-10-02,3.3,274.604.166.666.667,739.166.666.666.667,NA,210.770.833.333.333,202.229.166.666.667,26.3,15.6,0,NA,0.45,2.21,28.46,NA,57.33,2.71,67,28107,238.374.782.082.755
2011-10-03,266.458.333.333.333,256.041.666.666.667,598.125,NA,203.666.666.666.667,215.270.833.333.333,29.6,16.3,0,NA,0.48,11.54,55.17,NA,45.58,4.38,65,30376,213.984.724.782.723
